fecha_hora,ax,ay,az,gx,gy,gz,hay_paso
218,-2.02734375,3.140625,-3.146484375,-132.2447052,-39.46552658,18.64544868,0
240,-1.478515625,3.28125,-2.61328125,-123.0080643,-18.38155746,32.38590622,0
262,-1.126953125,3.3359375,-1.75390625,-118.2294388,6.076457977,46.84392166,0
282,-1.359375,4.220703125,-1.953125,-89.96989441,23.41996956,53.86682129,0
305,-1.232421875,4.900390625,-3.13671875,-17.23706627,34.88562012,24.50804329,0
325,-0.9453125,4.923828125,-3.66015625,22.22858238,38.03065491,31.01185989,0
347,-0.4140625,4.18359375,-3.005859375,58.10644531,53.80164719,41.91262436,0
367,0.01171875,2.931640625,-2.2578125,102.3965149,80.29019928,44.21796799,0
388,0.7578125,0.486328125,-1.2265625,185.6942291,121.8627167,38.27903748,0
413,-0.1953125,-1.521484375,-0.78125,385.9232483,205.6795197,-3.491956234,0
434,1.87890625,-1.87890625,-2.279296875,503.984314,306.1833191,-86.88126373,1
456,-16,15.99951172,-16,394.167511,78.61080933,40.85918808,1
480,-5.587890625,-16,12.79492188,501.8927002,-219.2059784,-316.9423523,1
502,-2.685546875,3.830078125,-16,26.4575901,15.72531319,-240.5301208,1
522,-3.93359375,1.654296875,1.38671875,88.85453033,39.83218384,252.630188,1
542,-5.220703125,8.7109375,-6.69140625,48.94614029,74.24440002,39.88208771,1
565,-2.52734375,4.69921875,-4.51953125,83.8163681,62.99248886,-63.15607834,1
587,-1.96875,5.994140625,-7.06640625,88.16751099,67.45050049,-21.73623085,1
610,-2.27734375,5.69140625,-7.7578125,91.31254578,57.38943481,26.5843792,0
632,-2.41015625,5.728515625,-7.94140625,73.23621368,30.64134407,56.38590622,0
653,-1.234375,5.302734375,-7.8828125,84.99193573,11.32836628,-12.7743988,0
674,-0.509765625,4.0390625,-7.759765625,71.29727936,21.17569542,6.095829964,0
696,-1.236328125,4.79296875,-8.318359375,54.22858429,33.32836533,53.28667068,0
717,-2.0390625,5.275390625,-8.529296875,39.44995499,19.31309891,25.91262436,0
739,-1.796875,4.81640625,-7.283203125,23.40415573,7.587908268,-16.25531578,0
760,-1.416015625,3.890625,-6.2734375,1.709497929,14.07645798,-16.86600304,0
781,-1.609375,3.994140625,-6.072265625,-19.80195236,23.83218384,7.607280731,0
804,-2.505859375,4.169921875,-6.263671875,-21.63401222,11.236763,4.340105057,0
824,-2.9375,4.212890625,-5.4453125,-16.16836357,-10.70216751,-32.63699341,0
846,-3.18359375,3.75,-4.134765625,-24.87065315,-30.64109993,-69.20187378,0
867,-3.654296875,3.27734375,-3.09765625,-47.46607208,-44.32048798,-88.2095108,0
890,-4.2421875,3.15234375,-2.96875,-66.64164734,-53.93880844,-111.2476807,0
914,-3.224609375,2.7109375,-2.935546875,-83.43554688,-86.85484314,-138.484314,0
934,-2.52734375,2.69921875,-3.130859375,-84.90119171,-102.8395691,-117.3850861,0
959,-2.46484375,3.099609375,-3.984375,-83.26760101,-89.1907196,-64.49958801,0
981,-3.3515625,2.970703125,-4.328125,-111.9851608,-93.63346863,-21.73623085,0
1057,-3.23046875,4.060546875,-4.431640625,-113.2218018,-104.2746887,-22.94233894,0
1079,-2.67578125,4.49609375,-3.505859375,-128.1988983,-90.28995514,21.45460892,0
1101,-2.77734375,5.25,-3.6015625,-118.0309601,-75.8319397,39.01185989,0
1126,-3.375,6.5,-4.21484375,-81.57294464,-70.53422546,13.27140236,0
1147,-3.625,5.66015625,-4.50390625,-69.51187897,-76.18308258,4.996593475,0
1171,-3.490234375,4.41015625,-4.2890625,-75.84775543,-80.32048798,46.32483673,0
1191,-3.40625,3.927734375,-3.380859375,-79.93936157,-70.3968277,71.91262817,0
1213,-3.806640625,4.0703125,-3.123046875,-75.32867432,-49.64873123,68.88972473,0
1236,-4.11328125,4.544921875,-3.234375,-64.15309906,-23.28232002,33.95842743,0
1257,-3.958984375,4.744140625,-3.88671875,-65.77142334,-9.55712986,9.82102108,0
1279,-3.287109375,4.28515625,-3.69921875,-81.60348511,8.76348114,11.71415138,0
1300,-2.587890625,4.001953125,-3.2734375,-92.42790985,25.43523598,20.75231743,0
1324,-2.63671875,4.728515625,-2.865234375,-100.3057709,32.50394058,2.111097336,0
1344,-2.9453125,5.166015625,-3.326171875,-83.34394073,22.25966454,-22.80493355,0
1364,-2.576171875,5.51171875,-4.0234375,-45.58821106,9.160428047,-37.6293602,0
1384,-2.025390625,5.39453125,-4.208984375,-19.96989059,2.427603245,-20.62172699,0
1406,-1.68359375,4.919921875,-3.83203125,-10.30576992,6.503939152,16.35537148,0
1430,-0.95703125,3.7890625,-2.96875,16.61026192,17.96958733,37.59201431,0
1453,1.119140625,-0.173828125,-0.78515625,112.5186539,60.68714523,32.79812241,0
1478,1.5,-3.921875,1.34765625,370.1827698,173.816925,-36.01103973,0
1501,4.005859375,-3.240234375,-0.21875,503.984314,347.2367554,-126.484314,1
1527,-16,15.99951172,-16,-463.8477478,-229.3739166,321.5767212,1
1550,-0.783203125,7.56640625,15.99951172,154.2743835,-76.64109802,-496.4996033,1
1576,-1.412109375,0.841796875,-16,169.2056732,32.0917244,35.11873245,1
1599,-6.09375,6.03515625,-0.796875,83.60262299,82.03065491,171.0118713,1
1620,-3.64453125,6.61328125,-7.015625,124.3965149,76.01538849,-41.09500885,1
