fecha_hora,ax,ay,az,gx,gy,gz,hay_paso
233,-0.427246094,0.900390625,-0.741210938,34.22191238,-18.18805695,-18.44722557,0
255,-0.134277344,0.166503906,-0.745117188,33.21427917,-32.49339676,18.45353699,0
276,0.124511719,0.481445313,-0.94921875,24.32878494,-36.93614578,8.926819801,0
299,0.104492188,0.951660156,-1.049316406,0.191379547,-38.81400681,-79.98921204,0
319,-0.262207031,0.802246094,-1.288574219,-22.52617645,-45.0888176,-114.111351,0
339,-0.287109375,0.303710938,-1.381835938,-41.50327682,-50.03538132,-92.84417725,0
361,-0.315917969,0.24609375,-1.234375,-61.70174789,-43.21095657,-22.72203445,0
382,-0.057128906,0,-1.034179688,-69.59488678,-32.61553574,20.68254471,0
406,0.059082031,-0.027832031,-1.041992188,-63.01472855,-19.25675774,12.91155243,0
427,-0.030761719,0.015625,-1.012207031,-53.76281738,-13.47049904,-16.43195915,0
450,-0.17578125,-0.139160156,-0.989746094,-41.6254158,-14.09645271,-35.1037178,0
472,-0.299804688,-0.192871094,-0.981933594,-29.12159729,-15.0888195,-29.95867729,0
496,-0.367675781,-0.272460938,-1.054199219,-15.73228455,-16.29492569,-0.706768513,0
516,-0.322265625,-0.211425781,-1.126953125,-11.25900078,-16.1575222,29.27796555,0
536,-0.209472656,-0.080078125,-1.19140625,-8.175033569,-13.8369112,42.85048294,0
558,-0.080566406,-0.015625,-1.074707031,-3.869689465,-9.226223946,32.52987289,0
581,-0.0703125,0.043945313,-1.011230469,3.076875687,-5.424697399,13.44590378,0
604,-0.129882813,0.04296875,-1.020996094,8.374586105,-1.302559972,7.079491138,0
626,-0.144042969,0.049316406,-1.067382813,11.15321159,2.712707281,18.94208717,0
647,-0.137695313,0.084472656,-1.036621094,12.02344036,7.124920845,35.87338257,0
668,-0.08203125,0.128417969,-0.858398438,15.09214211,12.42263126,38.43826675,0
690,-0.022460938,0.145019531,-0.696289063,25.03107452,19.10965347,30.49933815,0
711,0.055175781,0.063964844,-0.704101563,39.1532135,26.59057045,19.6749115,0
732,0.11328125,0.094238281,-0.731933594,52.32878494,37.52186966,12.4993391,0
754,0.108886719,0.109375,-0.618652344,61.62649536,48.6974411,2.774147749,0
775,0.026367188,0.091308594,-0.434082031,70.84786224,58.36156464,1.995521545,0
797,-0.037109375,0.021972656,-0.596191406,74.84786224,65.55239868,22.27033043,0
818,-0.12109375,-0.054199219,-0.583007813,75.55015564,60.1936264,19.36956787,0
838,-0.313964844,-0.059082031,-0.276855469,80.40511322,52.08675385,-7.561730385,1
860,2.846679688,4.615234375,-0.397949219,60.20664597,108.0256805,68.39246368,1
882,1.128417969,-1.205566406,-7.180664063,-179.6864777,-5.104086876,-19.59226418,1
908,1.557128906,-1.657714844,1.426269531,-109.5948868,18.92644691,295.7970581,1
928,-0.192871094,3.112304688,-0.482421875,-114.4651108,57.90354919,281.1253052,1
953,0.536621094,-0.1796875,-1.233398438,-64.4040451,9.995149612,-29.77547073,1
975,-0.581542969,0.541992188,-1.047851563,-37.80862045,-5.073552608,-9.271653175,0
996,-0.027832031,0.145019531,-1.131835938,-31.16740036,3.308126926,32.54513931,0
1072,-0.006347656,0.258300781,-1.150390625,-6.022361279,2.514234066,2.774147749,0
1095,0.087890625,0.287109375,-1.009765625,-7.411674023,-7.714774132,6.606208324,0
1119,0.095214844,0.428222656,-0.932617188,-6.144498348,-15.63843727,-2.935775995,0
1141,0.01171875,0.313964844,-1.066894531,-2.312437534,-18.89034653,-14.3250885,0
1164,-0.035644531,0.330566406,-1.063964844,5.71809721,-21.34836197,-11.51592827,0
1185,-0.115722656,0.333007813,-1.024902344,14.61886024,-18.41706467,-13.59226418,0
1206,-0.102539063,0.313964844,-1.099121094,17.76389885,-15.95904922,-23.53119469,0
1229,-0.057128906,0.290527344,-1.104492188,17.50435638,-14.67660618,-26.12661552,0
1251,-0.122070313,0.26171875,-1.254394531,18.61886024,-16.56973648,-30.11134911,0
1272,0.107421875,-0.317382813,-1.366210938,69.76389313,-5.241491318,3.552773714,0
1293,0.055664063,0.610351563,-0.676269531,16.46618843,-20.50866699,33.14055634,0
1315,-0.045898438,0.31640625,-0.970214844,13.84023476,-24.11172104,-8.706768036,0
1338,0.034179688,0.3984375,-0.780273438,17.2295475,-18.38652992,0.987887979,0
1358,0.041992188,0.286621094,-0.955078125,17.24481392,-13.60790348,-20.15715027,0
1378,0.008300781,0.571289063,-1.041992188,12.45092201,-11.27202606,-40.84417343,0
1400,-0.100097656,0.626953125,-1.123535156,-4.037627697,-15.86744499,-50.92050934,0
1424,-0.2109375,0.650390625,-1.239746094,-26.43457413,-23.18042183,-56.47776413,0
1447,-0.219238281,0.378417969,-1.099609375,-45.12159729,-22.90561295,-31.05791283,0
1471,-0.227539063,0.153320313,-0.985351563,-50.72465134,-22.1575222,-15.42432499,0
1494,-0.163085938,0.006835938,-0.874023438,-41.36587143,-17.79110909,-7.332722664,0
1521,-0.171386719,0.002929688,-0.875488281,-23.67121506,-15.36362839,-15.18005085,0
1543,-0.224121094,0.007324219,-1.026367188,-11.10633087,-14.70713997,-11.51592827,0
1566,-0.215332031,0.072265625,-1.131835938,-3.900223255,-13.53156757,0.255063564,0
1593,-0.135253906,0.117675781,-1.140136719,0.603593349,-7.241491318,12.80468178,0
1614,-0.088378906,0.102050781,-1.150878906,5.824967384,-1.684239268,13.53750706,0
1634,-0.103027344,0.172363281,-1.134765625,10.20664597,3.521867752,8.087124825,0
1654,-0.163574219,0.148925781,-1.076660156,12.84786797,7.384462833,-1.485394478,0
1675,-0.219238281,0.104003906,-1.027832031,15.71809769,10.34629536,-4.706768513,0
1697,-0.25,0.077148438,-1.1328125,14.54252434,11.88827991,6.636743069,0
1722,-0.177246094,-0.000488281,-0.999511719,14.46618843,12.31576061,17.11002541,0
1743,-0.098632813,-0.024414063,-0.736328125,20.63412666,14.05621815,15.84284973,0
1764,0.0390625,-0.061523438,-0.493652344,32.81733322,18.40736389,14.74361324,0
1785,0.114257813,-0.082519531,-0.548339844,46.05397415,25.4149971,8.590941429,0
1810,0.07421875,-0.03125,-0.649902344,55.64176178,34.13255692,7.018422127,0
1835,0.0234375,-0.006347656,-0.626953125,61.21427917,41.53713608,14.23979664,0
1856,0.021972656,0.01953125,-0.418457031,67.38221741,48.23942566,26.62147522,0
1880,-0.245605469,0.026367188,-0.290039063,77.77915955,45.36919785,13.52223969,0
1901,-0.476074219,-0.040527344,-0.18359375,92.92420197,18.49896622,-34.43196106,1
1925,-2.011230469,-0.23046875,-9.518554688,-49.01472855,-109.8827133,-36.47776413,1
1947,0.19921875,-2.393066406,1.802246094,-138.6788483,16.43789864,-25.02737808,1
1968,-0.201171875,1.367675781,-0.997070313,-116.5719833,52.22415924,234.896286,1
