fecha_hora,ax,ay,az,gx,gy,gz
218,-3.6015625,4.70703125,-6.021484375,109.9537659,58.1680603,130.8591919
240,-5.43359375,7.498046875,-5.9921875,95.99957275,60.74821472,1.317204237
261,-0.9296875,4.396484375,-5.26171875,91.44995117,51.05355835,-81.82782745
283,-0.26171875,3.490234375,-6.7890625,79.54155731,45.87798309,12.30957031
306,-1.037109375,3.99609375,-7.7265625,73.14460754,16.79401588,44.00422668
327,0.06640625,3.81640625,-7.037109375,69.66369629,12.64134407,18.7981205
348,-0.28125,2.03125,-7.10546875,42.77820206,21.43523598,92.00422668
375,-0.716796875,3.05859375,-7.541015625,30.06064415,21.52684021,74.00422668
396,-0.689453125,2.478515625,-7.162109375,38.62553024,18.93141937,36.8744545
419,-0.6015625,2.232421875,-7.009765625,38.07591248,20.76348114,27.25613594
440,-0.5234375,2.4453125,-7.06640625,28.41178894,18.35126686,22.12636375
465,-0.4140625,2.47265625,-7.154296875,13.06827641,16.04592514,21.24086761
487,-0.5,2.501953125,-7.01953125,3.129345179,11.02302265,29.62254715
507,-0.59765625,2.759765625,-6.9296875,-6.534776688,5.908519268,36.63018036
526,-0.65625,2.96484375,-7.080078125,-11.19126606,1.771114588,42.63018036
547,-0.798828125,3.19921875,-6.791015625,-11.45080757,0.076458156,44.75231934
569,-1.208984375,3.390625,-6.724609375,-4.214166641,-3.908274651,27.59201241
590,-1.439453125,3.13671875,-6.740234375,5.877436638,-9.007511139,19.59201241
612,-1.8984375,3.19140625,-6.625,16.21331406,-16.13728142,19.80575371
632,-2.130859375,3.48046875,-5.63671875,16.03010941,-27.84720612,-8.911804199
653,-1.763671875,3.701171875,-5.689453125,17.92323875,-33.08384705,-40.37745285
677,-1.59375,3.419921875,-6.458984375,26.96140671,-21.54186249,-16.9118042
698,-1.8984375,3.58203125,-6.61328125,27.41942215,-14.42735863,21.50041008
721,-2.37890625,3.6484375,-6.388671875,22.62552834,-18.93117523,16.99659348
742,-2.6484375,3.546875,-6.248046875,14.18278027,-25.46552658,-2.194246292
768,-2.8984375,3.681640625,-6.408203125,5.282016754,-24.48842812,-22.83546829
791,-3.09375,3.806640625,-6.810546875,2.442322254,-20.83957291,-45.82783508
813,-2.9921875,3.638671875,-6.8046875,0.991940737,-15.20598507,-63.40035629
835,-2.931640625,3.3515625,-6.53125,-9.328670502,-10.09148121,-62.20951462
856,-3.130859375,3.599609375,-6.2734375,-21.38973808,-1.557129622,-68.16371155
881,-3.283203125,4.00390625,-6.154296875,-23.78668404,5.542107105,-86.92707062
909,-2.9140625,3.869140625,-6.4453125,-8.10729599,7.419969559,-107.8736343
937,-2.6328125,4.123046875,-6.701171875,-19.80195236,-3.786137104,-93.07974243
968,-2.333984375,3.857421875,-6.806640625,-42.91645432,-13.87773991,-70.86599731
1187,-1.486328125,2.79296875,-4.55078125,-94.67218781,-36.22888565,-17.87363625
1210,-1.6640625,2.875,-4.408203125,-90.50424194,-29.89300728,-6.57592535
1230,-1.720703125,3.26953125,-4.55078125,-79.93936157,-21.99987793,-0.62172699
1250,-1.724609375,3.45703125,-4.6484375,-68.29050446,-12.442626,-2.270582199
1270,-1.82421875,3.8046875,-5.197265625,-59.80195236,-7.663999557,6.248501778
1295,-1.67578125,4.0390625,-5.796875,-53.8324852,-11.3739233,10.12636471
1340,-0.9921875,4.25,-4.525390625,-59.71035004,-3.816671848,64.41644287
1362,-1.66796875,4.9453125,-4.31640625,-39.34393692,12.85508442,68.44697571
1391,-1.375,3.78125,-4.265625,18.53392601,13.84745026,37.34773636
1416,0.7109375,1.296875,-2.85546875,115.5873566,40.48867035,40.47750854
1437,1.296875,-2.3203125,-1.78515625,295.053009,130.8856201,39.07292938
1458,-1.328125,1.642578125,-7.05859375,475.5262756,223.4657745,103.1645355
1504,-2.798828125,-1.658203125,-0.21484375,86.12171173,-7.450259209,-59.88890457
1532,-5.509765625,3.994140625,-6.6484375,91.49575806,49.954319,155.2408752
1554,-4.607421875,6.62890625,-4.98828125,69.32781219,54.41233444,15.89735603
