entrenamiento_id,dispositivo_id,fecha_hora,ax,ay,az,mx,my,mz,gx,gy,gz
1,1,48845,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584363,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,3,1584363,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,4,1584363,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48855,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584383,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48866,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584395,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48879,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584408,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48894,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584423,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48910,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584437,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48924,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584452,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48938,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584467,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48957,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584483,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48968,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584496,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48985,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584511,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,48997,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584527,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49012,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584541,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49030,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584555,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49042,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584571,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49059,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584585,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49071,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584600,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49086,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584614,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49101,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584630,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49116,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584646,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49130,-0.172,0.249,-9.764,0.0,9.23,-33.113,-12.406,0.0,-5.06
1,2,1584659,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49145,-0.162,0.249,-9.759,0.0,8.144,-33.806,-12.406,0.0006,0.0004
1,2,1584673,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49162,-0.16,0.249,-9.759,0.0,8.144,-33.806,-12.406,0.0006,0.0004
1,2,1584688,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49175,-0.162,0.229,-9.811,0.0,8.144,-33.806,-12.406,1.597e-05,8.255e-05
1,2,1584703,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49189,-0.162,0.234,-9.797,0.0,8.144,-33.806,-12.406,1.597e-05,0.0003
1,2,1584718,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49204,-0.162,0.234,-9.797,0.0,8.144,-33.806,-12.406,1.597e-05,0.0003
1,2,1584734,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49220,-0.177,0.249,-9.768,0.0,8.144,-33.806,-12.406,1.597e-05,0.0002
1,2,1584747,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49234,-0.181,0.239,-9.787,0.0,8.144,-33.806,-12.406,-0.0006,-5.06e-05
1,2,1584762,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49249,-0.167,0.239,-9.792,0.0,8.144,-33.806,-12.406,0.0002,-0.0004
1,2,1584777,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49265,-0.167,0.244,-9.787,0.0,8.144,-33.806,-12.406,-0.0002,0.0004
1,2,1584792,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49278,-0.167,0.244,-9.787,0.0,8.144,-33.806,-12.406,-0.0002,0.0004
1,2,1584806,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49293,-0.172,0.253,-9.802,0.0,8.868,-32.766,-12.047,-0.0005,-0.001
1,2,1584825,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49309,-0.186,0.244,-9.797,0.0,8.868,-32.766,-12.047,1.597e-05,-0.0003
1,2,1584836,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49324,-0.186,0.244,-9.797,0.0,8.868,-32.766,-12.047,1.597e-05,-0.0003
1,2,1584850,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49337,-0.158,0.239,-9.787,0.0,8.868,-32.766,-12.047,-0.0002,-5.06008e-05
1,2,1584865,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49358,-0.1676,0.244,-9.783,0.0,8.868,-32.766,-12.047,-0.0003,0.0003
1,2,1584888,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,1,49381,-0.172,0.244,-9.787,0.0,8.868,-32.766,-12.047,1.597e-05,-5.06e-05
1,2,1584916,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,2,1584926,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
1,2,1584936,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
